"Наименование субъекта","Населенный пункт/город/область","SO2","NOx","ЛОСНМ","CO","С","NH3","СН4","Всего","Источник  (АТ,ЖДТ)","Год"
"Свердловская область","Каменск-Уральский",0.04,0.8,0.9,7.1,0.01,0.02,0.04,8.9,"АТ",2014
"Свердловская область","Качканар",0.06,1,0.9,7.8,0.03,0.01,0.04,9.8,"АТ",2013
"Свердловская область","Кировград",0.01,0.2,0.2,1.7,0.002,0.01,0.01,2.1,"АТ",2012
"Свердловская область","Краснотурьинск",0.03,0.6,0.7,5.2,0.01,0.02,0.03,6.5,"АТ",2014
"Свердловская область","Красноуральск",0.01,0.2,0.2,1.4,0.003,0.004,0.01,1.8,"АТ",2014
"Свердловская область","Нижний Тагил",0.11,1.9,2.2,17.1,0.03,0.05,0.1,21.5,"АТ",2014
"Свердловская область","Нижняя Тура",0.01,0.2,0.2,1.4,0.003,0.004,0.01,1.7,"АТ",2012
"Свердловская область","Первоуральск",0.08,1.4,1.6,12.5,0.03,0.03,0.1,15.7,"АТ",2014
"Свердловская область","Полевской",0.04,0.6,0.7,5.7,0.01,0.02,0.03,7.2,"АТ",2014
"Свердловская область","Ревда",0.02,0.3,0.4,2.8,0.005,0.01,0.02,3.6,"АТ",2014
"Свердловская область","Реж",0.01,0.2,0.2,1.8,0.004,,0.01,2.3,"АТ",2014
"Свердловская область","Серов",0.04,0.7,0.8,6.1,0.01,0.02,0.03,7.6,"АТ",2014
"Свердловская область","Тавда",0.02,0.4,0.4,3.1,0.01,0.01,0.02,4,"АТ",2014
"Тюменская область",,1.1,19.8,17.6,134.7,0.37,0.4,0.7,174.7,"АТ",2014
"Тюменская область","Тобольск",0.004,0.1,0.1,0.8,0.001,0.003,0.005,1,"АТ",2013
"Тюменская область","Тюмень",0.028,0.6,0.8,5.8,0.01,0.02,0.03,7.2,"АТ",2013
"Челябинская область",,1.7,34.2,32.3,239.2,0.5,0.9,1.3,310.1,"АТ",2014
"Челябинская область","Златоуст",0.05,0.8,1,7.6,0.02,0.02,0.04,9.5,"АТ",2014
"Челябинская область","Магнитогорск",0.1,2.3,2.8,21.6,0.04,0.1,0.1,27.1,"АТ",2014
"Челябинская область","Озерск",0.03,0.6,0.7,5.6,0.01,0.02,0.03,7,"АТ",2014
"Челябинская область","Снежинск",0.02,0.3,0.4,2.8,0.005,0.01,0.02,3.5,"АТ",2014
"Челябинская область","Трехгорный",0.01,0.2,0.3,1.9,0.003,0.01,0.01,2.4,"АТ",2014
"Челябинская область","Троицк",0.02,0.4,0.5,3.5,0.007,0.01,0.02,4.4,"АТ",2014
"Челябинская область","Челябинск",0.5,9.1,10.05,84.7,0.22,0.17,0.43,105.1,"АТ",2014
"Ханты-Мансийский автономный округ - Югра",,1.4,24.4,21.2,164.5,0.5,0.5,0.8,213.3,"АТ",2014
"Ханты-Мансийский автономный округ - Югра","Когалым",0.05,0.7,0.7,6,0.02,0.01,0.03,7.6,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Лангепас",0.02,0.3,0.4,2.8,0.01,0.01,0.01,3.5,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Мегион",0.04,0.6,0.6,5,0.01,0.01,0.03,6.3,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Нижневартовск",0.19,3,3.1,24.7,0.1,0.1,0.1,31.1,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Нефтеюганск",0.09,1.4,1.4,11.1,0.033,0.023,0.1,14,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Нягань",0.04,0.7,0.7,5.8,0.017,0.012,0.03,7.4,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Покачи",0.01,0.1,0.1,1.1,0.003,0.002,0.01,1.4,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Пыть-Ях",0.03,0.5,0.5,4.2,0.013,0.009,0.02,5.3,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Радужный",0.03,0.4,0.4,3.6,0.011,0.007,0.02,4.5,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Советский",0.02,0.3,0.4,3,0.007,0.008,0.02,3.8,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Сургут",0.23,3.7,3.9,31.2,0.1,0.1,0.2,39.3,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Урай",0.02,0.3,0.3,2.6,0.01,0.01,0.01,3.3,"АТ",2013
"Ханты-Мансийский автономный округ - Югра","Югорск",0.02,0.3,0.4,2.9,0.01,0.01,0.02,3.6,"АТ",2013
"Ямало-Ненецкий автономный округ",,0.5,8.9,7.5,59.3,0.2,0.2,0.3,76.9,"АТ",2014
"Ямало-Ненецкий автономный округ","Губкинский",0.03,0.4,0.4,3.1,0.011,0.005,0.02,3.9,"АТ",2014
"Ямало-Ненецкий автономный округ","Лабытнанги",0.02,0.3,0.3,2.7,0.01,0.01,0.01,3.4,"АТ",2014
"Ямало-Ненецкий автономный округ","Муравленко",0.03,0.4,0.4,3.2,0.01,0.01,0.02,4.1,"АТ",2014
"Ямало-Ненецкий автономный округ","Новый Уренгой",0.14,2.1,2.1,17,0.05,0.03,0.08,21.5,"АТ",2014
"Ямало-Ненецкий автономный округ","Ноябрьск",0.07,1.1,1.2,9.2,0.02,0.02,0.05,11.7,"АТ",2014
"Ямало-Ненецкий автономный округ","Салехард",0.02,0.3,0.4,3,0.01,0.01,0.02,3.8,"АТ",2014
"Уральский федеральный округ",,7.4,142.1,129.6,977.2,2.4,3.4,5.1,1267.3,"АТ",2014
"Курганская область",,1.022,0.38,0.04,0.1,0.04,6E-005,0.002,1.6,"ЖДТ",2014
"Свердловская область",,0.06,1.6,0.2,0.4,0.2,0.0003,0.007,2.5,"ЖДТ",2014
"Тюменская область",,0.31,3.1,0.4,0.8,0.4,0.0005,0.014,5,"ЖДТ",2014
"Челябинская область",,0.02,1.6,0.2,0.4,0.2,0.0003,0.007,2.4,"ЖДТ",2014
"Ханты-Мансийский автономный округ - Югра",,0.34,3.4,0.4,0.9,0.4,0.0006,0.02,5.4,"ЖДТ",2014
"Ямало-Ненецкий автономный округ",,0.04,0.7,0.09,0.2,0.09,0.0001,0.003,1.2,"ЖДТ",2014
"Уральский федеральный округ",,1.8,10.8,1.3,2.9,1.2,0.002,0.05,18,"ЖДТ",2014
"Новосибирская область",,1.6,30.8,28.5,213.1,0.5,0.8,1.1,276.5,"АТ",2014
"Новосибирская область","Новосибирск",0.6,10,11.66,97.29,0.21,0.2,0.52,120.4,"АТ",2014
"Новосибирская область","Бердск",0.026,0.47,0.59,4.4,0.007,0.013,0.025,5.6,"АТ",2014
"Республика Бурятия",,0.7,12.1,10.6,82.3,0.2,0.2,0.4,106.6,"АТ",2014
"Республика Бурятия","Гусиноозерск",0.002,0.042,0.054,0.4,0.0006,0.0013,0.0023,0.5,"АТ",2014
"Республика Бурятия","п. Каменск",0.0003,0.006,0.007,0.1,0.0001,0.0002,0.0003,0.1,"АТ",2014
"Республика Бурятия","Кяхта",0.002,0.033,0.043,0.3,0.0005,0.001,0.0018,0.4,"АТ",2014
"Республика Бурятия","Северобайкальск",0.002,0.037,0.047,0.4,0.0005,0.0011,0.002,0.4,"АТ",2014
"Республика Бурятия","Селенгинск",0.001,0.013,0.016,0.1,0.0002,0.0004,0.0007,0.2,"АТ",2014
"Республика Бурятия","Улан-Удэ",0.2,3.3,3.7,29.2,0.1,0.1,0.2,36.6,"АТ",2014
"Республика Тыва",,0.1,1.9,1.7,13,0.03,0.05,0.1,16.8,"АТ",2014
"Республика Тыва","Кызыл",0.03,0.56,0.61,4.8,0.01,0.01,0.03,6.1,"АТ",2014
"Республика Тыва","Ак-Довурак",0.004,0.07,0.08,0.6,0.001,0.002,0.003,0.8,"АТ",2014
"Республика Хакасия",,0.2,4.6,4.5,32.5,0.1,0.1,0.2,42.1,"АТ",2014
"Республика Хакасия","Абакан",0.053,0.96,1.2,9,0.015,0.028,0.051,11.3,"АТ",2013
"Республика Хакасия","Абаза",0.004,0.07,0.09,0.7,0.001,0.002,0.004,0.9,"АТ",2013
"Республика Хакасия","Саяногорск",0.017,0.3,0.37,2.8,0.005,0.009,0.016,3.5,"АТ",2013
"Республика Хакасия","Сорск",0.0022,0.04,0.058,0.4,0.001,0.001,0.002,0.5,"АТ",2013
"Республика Хакасия","Черногорск",0.02,0.36,0.46,3.5,0.005,0.011,0.02,4.4,"АТ",2013
"Алтайский край",,1.4,26.3,23.8,179.9,0.5,0.6,0.9,233.4,"АТ",2014
"Алтайский край","Барнаул",0.237,4.04,4.64,36,0.079,0.095,0.195,45.2,"АТ",2014
"Алтайский край","Бийск",0.072,1.23,1.43,11,0.024,0.03,0.06,13.9,"АТ",2014
"Алтайский край","Заринск",0.015,0.25,0.28,2.2,0.005,0.006,0.012,2.8,"АТ",2014
"Алтайский край","Новоалтайск",0.024,0.4,0.47,3.6,0.008,0.01,0.02,4.6,"АТ",2014
"Алтайский край","Рубцовск",0.042,0.72,0.84,6.5,0.014,0.018,0.035,8.2,"АТ",2014
"Алтайский край","Белокуриха",0.006,0.1,0.11,0.9,0.002,0.002,0.005,1.1,"АТ",2014
"Алтайский край","Яровое",0.004,0.07,0.09,0.6,0.001,0.002,0.004,0.8,"АТ",2014
"Республика Алтай",,0.2,2.8,2.5,19.1,0.06,0.06,0.1,24.8,"АТ",2014
"Республика Алтай","Горно-Алтайск",0.048,0.77,0.78,6.3,0.019,0.013,0.032,8,"АТ",2014
"Забайкальский край",,0.7,12.6,11.2,86,0.2,0.3,0.4,111.5,"АТ",2014
"Забайкальский край","Чита",0.069,1.42,2,14.8,0.012,0.051,0.086,18.5,"АТ",2014
"Красноярский край",,1.2,25.9,24.9,182.1,0.4,0.7,1,236.2,"АТ",2014
"Красноярский край","Ачинск",0.056,0.95,1.11,8.5,0.018,0.023,0.047,10.8,"АТ",2014
"Красноярский край","Зеленогорск",0.021,0.38,0.48,3.6,0.006,0.011,0.02,4.5,"АТ",2014
"Красноярский край","Красноярск",0.3,5,6.42,52.3,0.08,0.2,0.3,64.5,"АТ",2014
"Красноярский край","Канск",0.045,0.75,0.84,6.6,0.016,0.017,0.035,8.3,"АТ",2014
"Красноярский край","Лесосибирск",0.027,0.45,0.5,3.9,0.01,0.01,0.021,5,"АТ",2014
"Красноярский край","Норильск",0.05,0.83,0.91,7.2,0.017,0.017,0.038,9.1,"АТ",2014
"Красноярский край","Шарыпово",0.019,0.32,0.38,2.9,0.006,0.008,0.016,3.6,"АТ",2014
"Красноярский край","Железногорск",0.028,0.5,0.63,4.7,0.008,0.014,0.027,6,"АТ",2014
"Красноярский край","Сосновоборск",0.03,0.5,0.56,4.4,0.01,0.011,0.024,5.6,"АТ",2014
"Кемеровская область",,1,21.5,20.6,151.2,0.3,0.6,0.8,196,"АТ",2014
"Кемеровская область","Кемерово",0.134,2.46,3.12,23.5,0.037,0.073,0.132,29.5,"АТ",2014
"Кемеровская область","Новокузнецк",0.113,2.12,2.76,20.6,0.029,0.067,0.118,25.8,"АТ",2014
"Омская область",,1.1,21.5,19.6,148.1,0.4,0.5,0.8,192,"АТ",2014
"Омская область","Омск",0.4,7.3,8.39,71.17,0.16,0.2,0.37,88,"АТ",2014
"Омская область","Исилькуль",0.016,0.27,0.31,2.4,0.006,0.006,0.013,3,"АТ",2014
"Омская область","Калачинск",0.02,0.33,0.36,2.8,0.007,0.007,0.015,3.6,"АТ",2014
"Омская область","Называевск",0.008,0.14,0.15,1.2,0.003,0.003,0.006,1.5,"АТ",2014
"Омская область","Тара",0.022,0.35,0.37,2.9,0.008,0.007,0.015,3.7,"АТ",2014
"Омская область","Тюкалинск",0.01,0.17,0.2,1.5,0.004,0.004,0.008,1.9,"АТ",2014
"Томская область",,0.6,11.3,10.3,77.8,0.2,0.3,0.4,100.9,"АТ",2014
"Томская область","Кедровый",0.002,0.03,0.03,0.2,0.001,0.001,0.001,0.3,"АТ",2014
"Томская область","Северск",0.033,0.59,0.73,5.5,0.009,0.016,0.031,6.9,"АТ",2014
"Томская область","Стрежевой",0.02,0.34,0.38,3,0.007,0.008,0.016,3.8,"АТ",2014
"Томская область","Томск",0.188,3.19,3.64,28.3,0.063,0.074,0.153,35.6,"АТ",2014
"Иркутская область",,1,20.6,19.5,144.4,0.3,0.6,0.8,187.2,"АТ",2014
"Иркутская область","Иркутск",0.215,3.75,4.41,34.1,0.068,0.093,0.186,42.9,"АТ",2014
"Иркутская область","Ангарск",0.065,1.16,1.39,10.7,0.02,0.03,0.059,13.4,"АТ",2014
"Иркутская область","Братск",0.082,1.4,1.61,12.5,0.027,0.033,0.068,15.7,"АТ",2014
"Сибирский федеральный округ",,9.7,191.9,177.7,1329.8,3.1,4.8,7.1,1724.1,"АТ",2014
"Новосибирская область",,0.02,0.4,0.04,0.1,0.04,0.0001,0.002,0.6,"ЖДТ",2014
"Республика Бурятия",,0.13,1.3,0.15,0.3,0.15,0.0002,0.006,2,"ЖДТ",2014
"Республика Хакасия",,0.002,0.2,0.02,0.04,0.02,3E-005,0.0007,0.2,"ЖДТ",2014
"Алтайский край",,0.04,2.5,0.3,0.7,0.3,0.0004,0.01,3.7,"ЖДТ",2014
"Красноярский край",,0.02,1.4,0.16,0.4,0.16,0.0002,0.006,2.1,"ЖДТ",2014
"Иркутская область",,0.07,0.7,0.08,0.2,0.08,0.0001,0.003,1.1,"ЖДТ",2014
"Кемеровская область",,0.0002,0.5,0.06,0.1,0.06,0.0001,0.002,0.7,"ЖДТ",2014
"Омская область",,0.02,0.2,0.03,0.1,0.03,4E-005,0.001,0.4,"ЖДТ",2014
"Томская область",,4E-005,0.1,0.01,0.02,0.01,2E-005,0.0004,0.1,"ЖДТ",2014
"Забайкальский край",,0.0005,2,0.23,0.5,0.23,0.0003,0.01,2.9,"ЖДТ",2014
"Сибирский федеральный округ",,0.3,9.1,1.06,2.4,1.05,0.0015,0.04,13.9,"ЖДТ",2014
"Амурская область",,0.5,9.6,8.7,65.5,0.2,0.2,0.3,85,"АТ",2014
"Амурская область","Шимановск",0.01,0.1,0.2,1.2,0.003,0.003,0.007,1.5,"АТ",2014
"Амурская область","Белогорск",0.03,0.5,0.6,4.4,0.01,0.012,0.02,5.5,"АТ",2014
"Амурская область","Зея",0.02,0.3,0.4,3,0.007,0.008,0.02,3.8,"АТ",2014
"Амурская область","Завитинск",0.006,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2014
"Амурская область","Благовещенск",0.1,1.8,2.1,16.1,0.03,0.04,0.1,20.2,"АТ",2014
"Амурская область","Свободный",0.02,0.4,0.4,3.4,0.01,0.009,0.02,4.3,"АТ",2014
"Амурская область","Райчихинск",0.01,0.2,0.2,1.9,0.004,0.005,0.01,2.3,"АТ",2014
"Амурская область","Тында",0.03,0.5,0.5,4.1,0.01,0.009,0.02,5.1,"АТ",2014
"Амурская область","Сковородино",0.011,0.18,0.19,1.5,0.004,0.004,0.008,1.9,"АТ",2014
"Еврейская автономная область",,0.1,1.8,1.6,12.2,0.04,0.04,0.1,15.8,"АТ",2014
"Еврейская автономная область","Биробиджан",0.03,0.5,0.5,4.2,0.01,0.01,0.02,5.3,"АТ",2014
"Камчатский край",,0.3,5.8,5.4,40.2,0.1,0.1,0.2,52.2,"АТ",2014
"Камчатский край","Петропавловск-Камчатский",0.12,2,2.3,18,0.04,0.05,0.1,22.6,"АТ",2014
"Камчатский край","Елизово",0.04,0.7,0.9,6.8,0.01,0.02,0.04,8.5,"АТ",2014
"Магаданская область",,0.2,3.4,2.9,22.6,0.1,0.1,0.1,29.3,"АТ",2014
"Магаданская область","Магадан",0.07,1,1.1,8.8,0.02,0.02,0.05,11.2,"АТ",2014
"Приморский край",,1.3,25.6,24,178,0.4,0.7,1,230.8,"АТ",2014
"Приморский край","Владивосток",0.28,5,6.3,47.7,0.08,0.15,0.27,59.9,"АТ",2014
"Приморский край","Арсеньев",0.01,0.1,0.2,1.3,,,0.01,1.7,"АТ",2014
"Приморский край","Артем",0.05,0.9,1.1,8.3,0.02,0.025,0.05,10.5,"АТ",2014
"Приморский край","Дальнегорск",0.02,0.4,0.4,3.3,0.01,0.01,0.02,4.2,"АТ",2014
"Приморский край","Дальнереченск",0.03,0.5,0.5,4.2,0.01,0.01,0.02,5.3,"АТ",2014
"Приморский край","Лесозаводск",0.03,0.4,0.5,3.7,0.01,0.01,0.02,4.7,"АТ",2014
"Приморский край","Находка",0.02,0.4,0.5,4,0.01,0.01,0.02,5,"АТ",2014
"Приморский край","Партизанск",,0.1,0.1,1,,0.003,0.01,1.2,"АТ",2014
"Приморский край","Спасск-Дальний",0.02,0.4,0.4,3.2,0.01,0.01,0.02,4.1,"АТ",2014
"Приморский край","Уссурийск",0.03,0.5,0.7,5,0.01,0.01,0.03,6.2,"АТ",2014
"Республика Саха (Якутия)",,0.5,8.1,7,54.3,0.2,0.2,0.3,70.3,"АТ",2014
"Республика Саха (Якутия)","Алдан",0.02,0.3,0.4,2.8,0.01,0.01,0.01,3.6,"АТ",2014
"Республика Саха (Якутия)","Вилюйск",0.01,0.1,0.1,1.1,0.003,0.003,0.01,1.4,"АТ",2014
"Республика Саха (Якутия)","Ленск",0.03,0.4,0.4,3.4,0.01,0.01,0.02,4.2,"АТ",2014
"Республика Саха (Якутия)","Мирный",0.07,1.1,1.1,8.9,0.03,0.02,0.05,11.3,"АТ",2014
"Республика Саха (Якутия)","Нерюнгри",0.04,0.6,0.6,5.1,0.01,0.01,0.03,6.4,"АТ",2014
"Республика Саха (Якутия)","Нюрба",0.01,0.2,0.2,1.4,0.004,0.003,0.01,1.7,"АТ",2014
"Республика Саха (Якутия)","Олекминск",0.01,0.1,0.1,0.8,0.003,0.001,0.004,1,"АТ",2014
"Республика Саха (Якутия)","Покровск",0.03,0.4,0.3,3,0.013,0.003,0.01,3.9,"АТ",2013
"Республика Саха (Якутия)","Среднеколымск",0.001,0.012,0.012,0.1,0.0003,0.0002,0.0005,0.1,"АТ",2014
"Республика Саха (Якутия)","Якутск",0.14,2.3,2.6,20.2,0.05,0.05,0.11,25.4,"АТ",2014
"Сахалинская область",,0.4,7.5,6.7,51,0.1,0.2,0.3,66.1,"АТ",2014
"Сахалинская область","Александровск-Сахалинский",0.01,0.1,0.1,0.7,0.002,0.002,0.004,0.9,"АТ",2013
"Сахалинская область","Анива",0.01,0.2,0.2,1.3,0.003,0.003,0.01,1.7,"АТ",2013
"Сахалинская область","Долинск",0.01,0.2,0.2,1.8,0.005,0.005,0.01,2.3,"АТ",2013
"Сахалинская область","Корсаков",0.02,0.3,0.4,3,0.007,0.008,0.02,3.8,"АТ",2013
"Сахалинская область","Курильск",0.003,0.04,0.04,0.3,0.001,0.001,0.002,0.4,"АТ",2013
"Сахалинская область","Макаров",0.004,0.1,0.1,0.6,0.002,0.001,0.003,0.7,"АТ",2013
"Сахалинская область","Невельск",0.01,0.1,0.1,1.1,0.002,0.003,0.01,1.4,"АТ",2013
"Сахалинская область","Ноглики",0.01,0.1,0.1,1.1,0.003,0.002,0.01,1.4,"АТ",2013
"Сахалинская область","Оха",0.01,0.2,0.2,1.9,0.006,0.004,0.01,2.4,"АТ",2013
"Сахалинская область","Поронайск",0.01,0.2,0.2,1.5,0.004,0.004,0.01,1.9,"АТ",2013
"Сахалинская область","Северо-Курильск",0.001,0.015,0.017,0.1,0.0003,0.0003,0.001,0.2,"АТ",2013
"Сахалинская область","пгт,Смирных",0.01,0.1,0.1,1,0.003,0.002,0.01,1.3,"АТ",2013
"Сахалинская область","Томари",0.005,0.1,0.1,0.7,0.002,0.001,0.004,0.9,"АТ",2013
"Сахалинская область","пгт, Тымовский",0.01,0.2,0.2,1.4,0.005,0.003,0.01,1.8,"АТ",2013
"Сахалинская область","Углегорск",0.01,0.2,0.2,1.8,0.005,0.004,0.01,2.2,"АТ",2013
"Сахалинская область","Холмск",0.02,0.4,0.4,3.2,0.008,0.008,0.02,4,"АТ",2013
"Сахалинская область","Южно-Курильск",0.004,0.1,0.1,0.6,0.002,0.001,0.003,0.7,"АТ",2013
"Сахалинская область","Южно-Сахалинск",0.11,1.9,2.1,16.2,0.04,0.039,0.09,20.4,"АТ",2013
"Хабаровский край",,0.8,14.9,13.2,100.8,0.3,0.3,0.5,130.8,"АТ",2014
"Хабаровский край","Амурск",0.01,0.2,0.2,1.4,0.002,0.004,0.01,1.8,"АТ",2013
"Хабаровский край","Комсомольск-на-Амуре",0.06,1,1.2,9.5,0.017,0.028,0.05,11.9,"АТ",2013
"Хабаровский край","Николаевск-на-Амуре",0.005,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2013
"Хабаровский край","Советская Гавань",0.01,0.1,0.2,1.3,0.003,0.004,0.01,1.7,"АТ",2013
"Хабаровский край","Хабаровск",0.18,3.1,3.7,28.5,0.057,0.079,0.16,35.8,"АТ",2013
"Чукотский автономный округ",,0.03,0.5,0.4,3.5,0.01,0.01,0.02,4.5,"АТ",2014
"Чукотский автономный округ","Анадырь",0.01,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2014
"Чукотский автономный округ","Билибино",0.004,0.1,0.1,0.5,0.002,0.001,0.003,0.7,"АТ",2014
"Чукотский автономный округ","Певек",0.003,0.05,0.05,0.4,0.001,0.001,0.002,0.5,"АТ",2014
"Дальневосточный федеральный округ",,4.1,77.2,69.6,528,1.4,1.8,2.8,684.8,"АТ",2014
"Амурская область",,2,5.6,0.7,1.5,0.6,0.0009,0.03,10.4,"ЖДТ",2014
"Приморский край",,0.3,0.01,0.002,0.004,0.002,2E-006,7E-005,0.3,"ЖДТ",2014
"Республика Саха (Якутия)",,0.01,0.3,0.03,0.08,0.03,5E-005,0.0013,0.4,"ЖДТ",2014
"Сахалинская область",,0.003,0.4,0.04,0.1,0.04,0.0001,0.002,0.6,"ЖДТ",2014
"Хабаровский край",,0.9,8.7,1,2.4,1,0.0015,0.04,14,"ЖДТ",2014
"Дальневосточный федеральный округ",,3.1,15,1.8,4,1.7,0.003,0.07,25.7,"ЖДТ",2014
"Северо-Кавказский федеральный округ",,4.6,86.5,77.3,592,1.6,1.9,3.1,767,"АТ",2014
"Ставропольский край",,1.4,27.7,25.5,191.4,0.5,0.7,1,248.1,"АТ",2014
"Ставропольский край","Буденновск",0.03,0.6,0.7,5.5,0.011,0.02,0.03,6.9,"АТ",2013
"Ставропольский край","Георгиевск",0.04,0.7,0.9,7.1,0.011,0.02,0.04,8.8,"АТ",2013
"Ставропольский край","Ессентуки",0.02,0.5,0.6,4.3,0.007,0.01,0.02,5.4,"АТ",2013
"Ставропольский край","Кисловодск",0.03,0.5,0.7,5.2,0.008,0.02,0.03,6.6,"АТ",2013
"Ставропольский край","Минеральные Воды",0.04,0.7,0.9,7,0.012,0.02,0.04,8.8,"АТ",2013
"Ставропольский край","Невинномысск",0.03,0.5,0.7,5,0.008,0.02,0.03,6.3,"АТ",2013
"Ставропольский край","Пятигорск",0.06,1,1.3,9.9,0.016,0.03,0.1,12.4,"АТ",2013
"Ставропольский край","пгт. Солнечнодольск",0.002,0.05,0.06,0.5,0.0006,0.002,0.003,0.6,"АТ",2012
"Ставропольский край","Ставрополь",0.1,2.1,2.6,20,0.031,0.06,0.1,25.1,"АТ",2013
"Кабардино-Балкарская Республика",,0.5,9.2,8.1,62.2,0.2,0.2,0.3,80.6,"АТ",2014
"Кабардино-Балкарская Республика","Нальчик",0.1,1.1,1.4,10.4,0.018,0.03,0.1,13,"АТ",2014
"Республика Дагестан",,1.4,25.1,22,171,0.5,0.5,0.9,221.3,"АТ",2014
"Республика Дагестан","Махачкала",0.1,2.4,2.7,21.3,0.04,0.1,0.1,26.7,"АТ",2014
"Республика Дагестан","Буйнакск",0.02,0.4,0.4,3.5,0.009,0.008,0.02,4.4,"АТ",2014
"Республика Дагестан","Дербент",0.03,0.5,0.5,4.3,0.01,0.011,0.02,5.4,"АТ",2014
"Республика Дагестан","Дагестанские Огни",0.009,0.1,0.15,1.2,0.003,0.003,0.006,1.5,"АТ",2014
"Республика Дагестан","Избербаш",0.02,0.3,0.3,2.5,0.006,0.006,0.01,3.2,"АТ",2014
"Республика Дагестан","Каспийск",0.02,0.4,0.5,3.7,0.008,0.009,0.02,4.6,"АТ",2014
"Республика Дагестан","Кизилюрт",0.02,0.3,0.3,2.6,0.007,0.005,0.01,3.2,"АТ",2014
"Республика Дагестан","Кизляр",0.02,0.3,0.4,2.9,0.007,0.007,0.01,3.6,"АТ",2014
"Республика Дагестан","Хасавюрт",0.04,0.6,0.7,5.6,0.014,0.013,0.03,7,"АТ",2014
"Республика Дагестан","Ю.Сухокумск",0.004,0.057,0.057,0.5,0.001,0.001,0.002,0.6,"АТ",2014
"Карачаево-Черкесская Республика",,0.2,4.1,3.7,28,0.1,0.1,0.1,36.2,"АТ",2014
"Карачаево-Черкесская Республика","Черкесск",0.05,0.8,0.9,7,0.02,0.02,0.04,8.8,"АТ",2014
"Карачаево-Черкесская Республика","Карачаевск",0.01,0.1,0.1,0.8,0.002,0.002,,1,"АТ",2014
"Республика Ингушетия",,0.1,1.6,1.5,11,0.03,0.04,0.1,14.3,"АТ",2014
"Республика Ингушетия","Магас",0.009,0.14,0.13,1.1,0.0038,0.0017,0.005,1.4,"АТ",2014
"Республика Ингушетия","Карабулак",0.022,0.4,0.4,3,0.008,0.007,0.016,3.8,"АТ",2014
"Республика Ингушетия","Назрань",0.06,1.1,1.2,9.5,0.022,0.022,0.05,12,"АТ",2014
"Республика Северная Осетия - Алания",,0.5,8.6,7.6,58.9,0.2,0.2,0.3,76.2,"АТ",2014
"Республика Северная Осетия - Алания","Владикавказ",0.1,1.6,2,15.1,0.03,0.04,0.1,18.9,"АТ",2014
"Республика Северная Осетия - Алания","Алагир",0.01,0.2,0.2,1.5,0.003,0.004,0.01,1.9,"АТ",2014
"Республика Северная Осетия - Алания","Ардон",0.01,0.1,0.2,1.3,0.003,0.003,0.007,1.6,"АТ",2014
"Республика Северная Осетия - Алания","Дигора",0.006,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2014
"Республика Северная Осетия - Алания","Моздок",0.014,0.2,0.3,2.2,0.005,0.006,0.012,2.8,"АТ",2014
"Республика Северная Осетия - Алания","Беслан",0.01,0.2,0.3,2,0.004,0.006,0.011,2.6,"АТ",2014
"Чеченская Республика",,0.6,10.3,9,69.6,0.2,0.2,0.4,90.2,"АТ",2014
"Чеченская Республика","Грозный",0.06,1.1,1.4,10.8,0.02,0.03,0.06,13.5,"АТ",2014
"Чеченская Республика","Гудермес",0.01,0.2,0.2,1.9,0.003,0.005,0.01,2.4,"АТ",2014
"Чеченская Республика","Аргун",0.01,0.1,0.2,1.2,0.002,0.003,0.01,1.5,"АТ",2014
"Чеченская Республика","Урус-Мартан",0.01,0.2,0.2,1.7,0.003,0.005,0.01,2.2,"АТ",2014
"Чеченская Республика","Шали",0.01,0.1,0.2,1.4,0.002,0.004,0.01,1.7,"АТ",2014
"Северо-Кавказский федеральный округ",,0.15,2,0.23,0.5,0.2,0.0003,0.009,3.1,"ЖДТ",2014
"Ставропольский край",,0.02,0.4,0.05,0.11,0.05,7E-005,0.0019,0.6,"ЖДТ",2014
"Кабардино-Балкарская Республика",,0.01,0.2,0.02,0.05,0.0206,3E-005,0.0008,0.3,"ЖДТ",2014
"Республика Дагестан",,0.01,0.1,0.01,0.03,0.0113,2E-005,0.0004,0.2,"ЖДТ",2014
"Республика Ингушетия",,0.0004,0.01,0.001,0.003,0.001,2E-006,5E-005,0.0154,"ЖДТ",2014
"Республика Северная Осетия - Алания",,0.0063,0.1608,0.0189,0.0434,0.0186,2.72E-005,0.00073,0.249,"ЖДТ",2014
"Чеченская Республика",,0.11,1.1,0.13,0.3,0.1,0.0002,0.005,1.8,"ЖДТ",2014
