"Наименование субъекта","Населенный пункт/город/область","SO2","NOx","ЛОСНМ","CO","С","NH3","СН4","Всего","Источник  (АТ,ЖДТ)","Год"
"Мурманская область","Кандалакша",0.01,0.2,0.3,1.9,0.002,0.01,0.01,2.4,"АТ",2014
"Мурманская область","Оленегорск",0.005,0.1,0.14,1,0.001,0.004,0.01,1.2,"АТ",2014
"Мурманская область","Ковдор",0.004,0.1,0.11,0.8,0.001,0.003,0.005,1,"АТ",2014
"Мурманская область","Мончегорск",0.01,0.2,0.2,1.8,0.002,0.01,0.01,2.2,"АТ",2014
"Мурманская область","Мурманск",0.07,1.4,1.8,13.5,0.018,0.04,0.1,16.9,"АТ",2014
"Мурманская область","Полярные Зори",0.005,0.1,0.12,0.9,0.001,0.003,0.01,1.1,"АТ",2014
"Мурманская область","ЗАТО Североморск",0.01,0.3,0.4,2.6,0.004,0.01,0.01,3.3,"АТ",2014
"Мурманская область","ЗАТО Александровск",0.005,0.1,0.15,1.1,0.001,0.004,0.01,1.3,"АТ",2014
"Мурманская область","ЗАТО Заозерск",0.002,0.05,0.06,0.5,0.001,0.002,0.003,0.6,"АТ",2014
"Мурманская область","ЗАТО Видяево",0.001,0.02,0.03,0.2,0.0002,0.001,0.001,0.2,"АТ",2014
"Мурманская область","ЗАТО Островной",0.0006,0.0101,0.0118,0.1,0.0002,0.0003,0.0005,0.1,"АТ",2014
"Новгородская область",,0.4,7.7,6.8,51.9,0.1,0.2,0.3,67.4,"АТ",2014
"Новгородская область","Великий Новгород",0.11,1.8,1.9,15.2,0.037,0.04,0.08,19.2,"АТ",2014
"Псковская область",,0.5,10.1,9.1,69,0.18,0.24,0.36,89.5,"АТ",2014
"Псковская область","Псков",0.11,1.8,2.1,16.3,0.036,0.04,0.1,20.5,"АТ",2014
"Псковская область","Великие Луки",0.06,0.9,1,8.1,0.019,0.02,0.04,10.2,"АТ",2014
"Санкт-Петербург и область СЗАО",,3.1,56.7,60.7,490.4,1.1,1.3,2.6,616,"АТ",2014
"Санкт-Петербург и область СЗАО","Санкт-Петербург",2.1,37.2,42.8,356.1,0.8,0.8,1.9,441.7,"АТ",2014
"Санкт-Петербург и область СЗАО","Ленинградская область",1,19.5,17.9,134.3,0.3,0.5,0.7,174.3,"АТ",2014
"Ненецкий автономный округ",,0.02,0.5,0.4,3.1,0.01,0.01,0.02,4,"АТ",2014
"Северо-Западный федеральный округ",,7.6,141.2,137.2,1068.6,2.6,3.2,5.6,1366.1,"ЖДТ",2014
"Республика Карелия",,0.0004,1.2,0.1,0.3,0.1,0.0002,0.005,1.8,"ЖДТ",2014
"Республика Коми",,0.2,3.8,0.4,1,0.4,0.0006,0.017,5.9,"ЖДТ",2014
"Архангельская область",,0.2,4.5,0.5,1.2,0.5,0.0008,0.02,6.9,"ЖДТ",2014
"Вологодская область",,0.01,0.2,0.03,0.06,0.03,4E-005,0.001,0.3,"ЖДТ",2014
"Калининградская область",,0.01,0.4,0.05,0.1,0.05,0.0001,0.002,0.6,"ЖДТ",2014
"Мурманская область",,0.0001,0.3,0.04,0.1,0.04,0.0001,0.002,0.5,"ЖДТ",2014
"Псковская область",,0.2,2.1,0.3,0.6,0.2,0.0004,0.01,3.4,"ЖДТ",2014
"Санкт-Петербург и область СЗАО",,0.017,3.7,0.5,1.1,0.5,0.0006,0.017,5.8,"ЖДТ",2014
"Санкт-Петербург и область СЗАО","Санкт-Петербург",0.003,0.6,0.1,0.2,0.1,0.0001,0.003,1,"ЖДТ",2014
"Санкт-Петербург и область СЗАО","Ленинградская область",0.014,3.1,0.4,0.9,0.4,0.0005,0.014,4.8,"ЖДТ",2014
"Южный федеральный округ",,8,155.1,141.9,1068.9,2.6,3.7,5.6,1385.9,"АТ",2014
"Республика Калмыкия",,0.2,3.6,3.2,24.4,0.07,0.1,0.1,31.7,"АТ",2014
"Республика Калмыкия","Элиста",0.06,0.9,1,7.9,0.02,0.02,0.04,10,"АТ",2014
"Республика Калмыкия","Лагань",0.01,0.1,0.1,1.1,0.003,0.002,0.005,1.3,"АТ",2014
"Республика Калмыкия","Городовиковск",0.01,0.1,0.2,1.2,0.003,0.003,0.006,1.5,"АТ",2014
"Краснодарский край",,3.1,60,55.4,414.8,0.98,1.5,2.2,538,"АТ",2014
"Краснодарский край","Анапа",0.1,1.1,1.3,10,0.02,0.03,0.05,12.5,"АТ",2013
"Краснодарский край","Армавир",0.1,1.1,1.2,9.4,0.02,0.02,0.05,11.8,"АТ",2013
"Краснодарский край","Белореченск",0.04,0.6,0.7,5.6,0.01,0.02,0.03,7,"АТ",2013
"Краснодарский край","Ейск",0.04,0.7,0.8,6.3,0.01,0.02,0.03,7.9,"АТ",2013
"Краснодарский край","Краснодар",0.38,6.4,7.4,57,0.13,0.2,0.3,71.8,"АТ",2013
"Краснодарский край","Новороссийск",0.1,1.7,2,15.5,0.03,0.04,0.1,19.4,"АТ",2013
"Краснодарский край","Сочи",0.1,1.8,2.1,16.3,0.04,0.04,0.1,20.5,"АТ",2013
"Краснодарский край","Тихорецк",0.04,0.7,0.8,6.6,0.01,0.02,0.04,8.3,"АТ",2013
"Краснодарский край","Туапсе",0.05,0.8,0.9,7,0.01,0.02,0.04,8.8,"АТ",2013
"Республика Адыгея (Адыгея)",,0.2,3.8,3.4,25.9,0.06,0.1,0.1,33.6,"АТ",2014
"Республика Адыгея (Адыгея)","Майкоп",0.04,0.8,1,7.9,0.01,0.025,0.04,9.9,"АТ",2014
"Республика Адыгея (Адыгея)","Адыгейск",0.004,0.1,0.1,0.7,0.001,0.002,0.004,0.9,"АТ",2014
"Астраханская область",,0.5,8.6,7.7,58.9,0.15,0.2,0.3,76.4,"АТ",2014
"Волгоградская область",,1.4,28,25.9,194.6,0.46,0.7,1,252.1,"АТ",2014
"Волгоградская область","Волгоград",0.2,4.5,5.7,46.7,0.1,0.1,0.3,57.7,"АТ",2014
"Волгоградская область","Волжский",0.06,1.2,1.6,11.8,0.01,0.039,0.1,14.7,"АТ",2014
"Ростовская область",,2.7,51.1,46.2,350.2,0.91,1.2,1.8,454.2,"АТ",2014
"Ростовская область","Волгодонск",0.05,0.9,1.1,8.4,0.02,0.02,0.05,10.5,"АТ",2013
